player_name,pitcher,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Jared Koenig,657649,1043,91.92943432406518,0.10067114093959731,0.6471716203259827,1.963138175218305,109.3
Trevor Williams,592866,1448,83.20462707182321,0.0925414364640884,0.6367403314917127,2.701128300062037,109.2
Justin Wrobleski,680736,1092,91.70247252747254,0.12454212454212454,0.6703296703296703,2.0432585401211,109.2
Cole Ragans,666142,1079,89.52974976830399,0.17238183503243745,0.6533827618164968,2.0076556006203807,109.2
Brandon Woodruff,605540,964,90.0734439834025,0.14107883817427386,0.6887966804979253,1.7768213497043452,109.1
Kyle Freeland,607536,2482,87.21156325543916,0.10797743755036261,0.6804995970991137,4.522703923163108,109.0
Isaac Mattson,676755,777,92.03320463320463,0.11840411840411841,0.667953667953668,1.423729761202805,109.0
Logan Webb,657277,3282,88.88942717854965,0.11395490554539915,0.6596587446678854,5.9292835030243145,108.9
Andrew Abbott,671096,2677,87.87881957415017,0.11991034740381024,0.6623085543518864,4.595615144292813,108.4
Michael Mcgreevy,700241,1465,88.27180887372013,0.08805460750853242,0.621160409556314,2.507092713050541,108.4
Cam Schlittler,693645,1253,94.27318435754191,0.13088587390263368,0.6576217079010375,2.0924607830275126,108.1
Nathan Eovaldi,543135,1919,87.59536216779573,0.14069828035435122,0.6696195935383012,3.174334484023595,108.0
Eduard Bazardo,660825,1224,89.72606209150327,0.08333333333333333,0.6576797385620915,2.003238920066433,108.0
Ryan Gusto,687473,1760,89.58420454545455,0.11477272727272728,0.6494318181818182,2.8735659099554143,107.9
Ben Casparius,676508,1250,89.50008000000001,0.1368,0.6408,1.9655989111960948,107.6
Daniel Palencia,694037,841,96.4514863258026,0.1403091557669441,0.6587395957193817,1.302199969623827,107.5
Shane Baz,669358,2718,91.5532744665195,0.12693156732891833,0.6515820456217807,4.154454750780723,107.4
Lake Bachar,669199,1143,89.88748906386701,0.1399825021872266,0.6395450568678915,1.70373087463821,107.2
Bryan King,687911,1046,88.22715105162524,0.121414913957935,0.6902485659655831,1.5603435775884775,107.2
Bryan Abreu,650556,1189,92.02270815811606,0.1900756938603869,0.6215306980656014,1.7719240497897317,107.2
Bryce Miller,682243,1542,90.23566796368353,0.122568093385214,0.6465629053177692,2.285532150629485,107.1
Casey Mize,663554,2353,90.65830854228645,0.11942201444963876,0.6587335316617084,3.4332743871746283,107.0
Sonny Gray,543243,2718,87.37619573215599,0.13061074319352464,0.6622516556291391,3.7701972103881807,106.6
Tomoyuki Sugano,608372,2565,87.7325925925926,0.08693957115009747,0.631578947368421,3.5272798205915543,106.5
Max Fried,608331,3109,88.3171437761338,0.1247989707301383,0.6349308459311676,4.191341580324881,106.4
Emmet Sheehan,686218,1146,90.58298429319372,0.16579406631762653,0.6448516579406631,1.499208782901003,106.2
Adrian Houser,605288,1892,90.7489957716702,0.08985200845665962,0.6527484143763214,2.4819947748317723,106.2
Brock Burke,656271,1014,92.01686390532545,0.1222879684418146,0.6577909270216963,1.337179300472986,106.2
Tobias Myers,668964,826,88.75338983050848,0.1089588377723971,0.6610169491525424,1.0687309550693553,106.1
Brenan Hanifee,669724,946,93.50739957716702,0.07293868921775898,0.6374207188160677,1.2156765160651501,106.1
Garrett Cleavinger,664076,874,91.19622425629291,0.17848970251716248,0.6762013729977117,1.10822447522522,106.0
Yennier Cano,666974,986,92.47150101419878,0.10649087221095335,0.6318458417849898,1.2331875277778235,105.9
Ryan Helsley,664854,979,93.1973442288049,0.15628192032686414,0.676200204290092,1.2232348144718244,105.9
Mitch Spence,687765,1353,87.80428677014042,0.13082039911308205,0.656319290465632,1.676500462144293,105.8
Clayton Kershaw,477132,1768,84.31102941176471,0.11029411764705882,0.630656108597285,2.116864739555002,105.6
John King,667463,782,89.62173913043478,0.09974424552429667,0.649616368286445,0.9421567537401125,105.6
Luis García,472610,871,90.40229621125143,0.11595866819747416,0.6383467278989667,1.0290467159295895,105.5
Sandy Alcántara,645261,2891,92.33562781044621,0.10342442061570391,0.6596333448633691,3.3794604569580358,105.4
Joe Ryan,657746,2794,90.12537580529705,0.12992125984251968,0.6556907659269864,3.1760417745503955,105.3
Tanner Banks,621383,1084,87.47416974169742,0.10977859778597786,0.6568265682656826,1.2504538366581281,105.3
Ryan Walker,676254,1018,91.44449901768174,0.09332023575638507,0.6453831041257367,1.1386348058011897,105.2
Dennis Santana,642701,1002,90.2870259481038,0.1407185628742515,0.6986027944111777,1.12291504114201,105.2
Matthew Liberatore,669461,2386,88.67120704107293,0.0972338642078793,0.6512992455993294,2.5534987998330827,104.9
Enyel De los santos,660853,1105,92.05529411764707,0.15475113122171946,0.6606334841628959,1.0926630497759362,104.5
Bryan Baker,641329,1102,91.43756805807622,0.14882032667876588,0.6696914700544465,1.0751341439765876,104.4
Carlos Hernández,672578,759,92.7185770750988,0.13306982872200263,0.6482213438735178,0.7366818422591677,104.4
Keegan Akin,669211,1058,89.94905482041588,0.13137996219281664,0.6578449905482041,1.0354877178481754,104.4
Landen Roupp,694738,1851,85.83468395461912,0.11021069692058347,0.6293895191788222,1.768476947815522,104.3
Pablo López,641154,1258,89.70620031796501,0.12559618441971382,0.6462639109697933,1.2039805997274526,104.3
Tyler Rogers,643511,978,81.08609406952965,0.0869120654396728,0.7443762781186094,0.890343621848917,104.0
Abner Uribe,682842,1164,93.47697594501717,0.14518900343642613,0.6460481099656358,1.0456054568639896,104.0
Jacob Webb,657097,978,88.04539877300613,0.1411042944785276,0.66359918200409,0.8782355789516895,104.0
Eury Pérez,691587,1673,91.68649133293485,0.14285714285714285,0.6425582785415421,1.5090234200056665,104.0
Max Scherzer,453286,1390,88.54913669064749,0.11798561151079137,0.6647482014388489,1.225833576080483,103.9
Miles Mikolas,571945,2480,87.51552419354839,0.07903225806451612,0.6612903225806451,2.2169982143948106,103.9
Justin Wilson,458677,816,91.37095588235293,0.16053921568627452,0.6409313725490197,0.7066434985416952,103.8
Raisel Iglesias,628452,964,92.03236514522821,0.15975103734439833,0.6939834024896265,0.8198736777883214,103.7
Yusei Kikuchi,579328,3094,88.52336780866192,0.11376858435681965,0.6380090497737556,2.5090390664955606,103.5
David Festa,701581,882,90.49297052154195,0.14058956916099774,0.6428571428571429,0.6949345052102334,103.4
Riley O'brien,676617,758,92.488654353562,0.11081794195250659,0.6200527704485488,0.5881435987128104,103.3
Sean Burke,680732,2376,88.65029461279461,0.11784511784511785,0.622895622895623,1.664730294019409,102.9
Taylor Clarke,664199,865,90.83734104046243,0.11098265895953757,0.6450867052023121,0.5919673610136948,102.8
Cade Cavalli,676917,788,92.46852791878172,0.1383248730964467,0.6624365482233503,0.5256813211037871,102.7
Brad Lord,695418,2127,91.63925716972263,0.10625293841090738,0.6469205453690644,1.3774986664021267,102.6
Aaron Ashby,676879,1033,91.61703775411422,0.1132623426911907,0.6243949661181026,0.6665342998507107,102.6
Braxton Ashcraft,677952,1102,92.52858439201452,0.13157894736842105,0.661524500907441,0.7218254183212158,102.6
Gordon Graceffo,700669,756,90.55621693121694,0.1111111111111111,0.6402116402116402,0.47957172409569643,102.5
Austin Gomber,596295,999,83.10940940940941,0.07807807807807808,0.6606606606606606,0.6169892343031943,102.4
Robert Garcia,676395,972,90.85092592592594,0.14609053497942387,0.6862139917695473,0.5874199987490003,102.4
Aaron Bummer,607481,932,85.78229613733906,0.09871244635193133,0.6427038626609443,0.5657277202537112,102.4
