player_name,pitcher,gs,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Carlos Vargas,672841,0,1095,95.85086757990868,0.09223744292237443,0.6611872146118721,2.185002430610396,111.8
José Castillo,620454,0,543,89.03941068139963,0.10497237569060773,0.6593001841620626,1.0673829313515037,111.7
Brandon Pfaadt,694297,32,2918,89.38344756682659,0.10897875257025359,0.6518163125428376,5.713156472759797,111.6
Caleb Ferguson,657571,0,1042,89.75239923224568,0.1017274472168906,0.6449136276391555,2.031724669029488,111.6
Framber Valdez,664285,31,2891,88.23355240401246,0.12590799031476999,0.6437218955378762,5.470801099485752,111.3
Justin Wrobleski,680736,8,1092,91.70247252747254,0.12454212454212454,0.6703296703296703,2.0432585401211,111.2
Shane Bieber,669456,7,645,88.18046511627907,0.12868217054263567,0.6372093023255814,1.2090110298214387,111.2
Trevor Williams,592866,17,1448,83.20462707182321,0.0925414364640884,0.6367403314917127,2.701128300062037,111.2
Jared Koenig,657649,0,1043,91.92943432406518,0.10067114093959731,0.6471716203259827,1.963138175218305,111.2
Gunnar Hoglund,680684,6,547,89.436197440585,0.10054844606946983,0.6325411334552102,1.0105030340079069,111.1
Cole Ragans,666142,13,1079,89.52974976830399,0.17238183503243745,0.6533827618164968,2.0076556006203807,111.1
Brandon Woodruff,605540,12,964,90.0734439834025,0.14107883817427386,0.6887966804979253,1.7768213497043452,111.0
Isaac Mattson,676755,0,777,92.03320463320463,0.11840411840411841,0.667953667953668,1.423729761202805,111.0
Logan Webb,657277,34,3282,88.88942717854965,0.11395490554539915,0.6596587446678854,5.9292835030243145,110.9
Yerry De los santos,660787,0,590,92.48898305084745,0.10508474576271186,0.6440677966101694,1.068211675163835,110.9
Dietrich Enns,608650,2,741,88.91497975708502,0.14709851551956815,0.6855600539811066,1.3484836414866623,110.9
Kyle Freeland,607536,28,2482,87.21156325543916,0.10797743755036261,0.6804995970991137,4.522703923163108,110.9
Ryan Weathers,677960,8,642,91.30514018691589,0.14018691588785046,0.6417445482866043,1.158473947777628,110.8
Brock Stewart,592779,0,610,93.67065573770492,0.15901639344262294,0.6540983606557377,1.0756141305774434,110.6
Michael Mcgreevy,700241,17,1465,88.27180887372013,0.08805460750853242,0.621160409556314,2.507092713050541,110.4
Andrew Abbott,671096,29,2677,87.87881957415017,0.11991034740381024,0.6623085543518864,4.595615144292813,110.4
Cam Schlittler,693645,14,1253,94.27318435754191,0.13088587390263368,0.6576217079010375,2.0924607830275126,110.2
Nathan Eovaldi,543135,20,1919,87.59536216779573,0.14069828035435122,0.6696195935383012,3.174334484023595,110.1
Eduard Bazardo,660825,0,1224,89.72606209150327,0.08333333333333333,0.6576797385620915,2.003238920066433,110.0
